Port #,,Wired?,Location,Connected to,Comments
,,,,,
1,1,,E4 1,Phones?,
2,2,,?,?,
3,3,,?,?,
4,4,,E4 4,LAN,
5,5,,E4 5,LAN,Runs 100 Mode
6,6,,E4 6,Phones?,
7,7,,,,
8,8,,,,
9,9,,,,
10,10,,,,
11,11,,,,
12,12,,,,
13,13,,,,
14,14,,,,
15,15,,,,
16,16,,,,
17,17,,,,
18,18,,,,
19,19,,,,
20,20,,,,
21,21,,,,
22,22,,,,
23,B1,,B1 Port Building One,,Cross Over Wired? Runs 1324 instead of 1234
24,B2,,B2 Port Building One,,Runs 100 Mode
