Port #,Label,Wired?,Location,Connected to,Comments
,,,,,
1,C33,,Server Room,DMZ-WAN,
2,C34,,Server Room,LAN,
3,C23,poe,7th East N,LAN,goog 1324 xover
4,C24,,?,,
5,-,,,,
6,-,,,,
7,-,,,,
8,C75,,Dev W N,LAN,good
9,-,,,,
10,C76,,Dev W S,LAN,good
11,-,,,,
12,-,,,,
13,109,no,,,
14,110,no,,,
15,111,no,,,
16,112,no,,,
17,113,no,,,
18,114,no,,,
19,115,,,,
20,116,,,,
21,117,,,,
22,118,,,,
23,119,,,,
24,120,,,,
